State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.79782	4.66891	4.50076	4.41669	4.48395	4.23733	3.99632	3.90103	3.75531	3.63200	3.44703	3.38538	3.31252	3.34054	3.49187	3.50308	3.62639	3.75531	3.57595	3.50869	3.39099
2	3.19263	3.08729	3.12780	3.21694	2.98195	2.96574	3.16832	3.27366	3.33038	3.05488	3.18453	3.43572	3.47624	3.28176	3.18453	3.00626	3.11970	3.21694	3.32228	3.12780	3.25745
3	2.89022	2.72916	2.72916	2.62178	2.66652	2.63073	2.35334	2.52335	2.28175	2.34439	2.27281	2.37123	2.23701	2.39808	2.29070	2.55020	2.24596	2.26386	2.29965	2.29070	2.28175
4	2.21841	2.22437	2.47484	2.45098	2.56429	2.53447	2.85650	2.83861	3.09504	2.81475	2.36153	2.74319	3.05329	2.97577	2.95191	2.95191	3.03540	2.89824	2.92210	3.00558	2.86246
5	1.73654	1.78238	1.74349	1.74626	1.76432	1.87546	1.84768	1.87963	1.89213	1.92964	2.03800	2.00466	2.02272	2.11441	2.16859	2.18665	2.22555	2.20610	2.19221	2.27556	2.31863
6	2.10046	2.10046	2.04478	2.10046	1.96886	2.07009	2.07009	2.07515	2.14095	2.12070	2.03972	2.04984	1.88788	1.86257	1.77653	1.84233	1.85751	1.90812	1.98911	1.94355	2.05997
7	1.03442	1.04608	1.05607	1.02609	0.98112	0.94780	0.95780	0.93281	0.92781	0.91782	0.89783	0.85952	0.84286	0.80122	0.76790	0.76290	0.73459	0.73126	0.76457	0.80288	0.79622
8	3.41460	3.40466	3.39771	3.38479	3.36790	3.34057	3.31226	3.27201	3.22730	3.19551	3.14384	3.07677	3.00870	2.96498	2.89394	2.81544	2.72751	2.66044	2.59138	2.51338	2.44581
9	2.84289	2.84289	2.76851	2.66934	2.64455	2.64455	2.59496	2.59496	2.48753	2.49579	2.38836	2.32224	2.23960	2.11564	2.14043	2.07432	2.03300	1.94209	1.87598	1.87598	1.89250
10	0.70389	0.70524	0.70684	0.70943	0.71230	0.71353	0.71649	0.71895	0.72252	0.72835	0.73524	0.73906	0.74509	0.74841	0.75412	0.75962	0.76586	0.77152	0.77694	0.78129	0.78597
