State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.74642	9.34913	11.39209	14.04843	16.97683	19.83598	21.23588	21.45848	20.23172	17.40224	20.23172	33.92399	42.59543	47.93284	48.86775	45.54857	38.32649	31.12419	24.65400	19.70243	15.94299
2	4.59835	5.25628	6.41480	8.16690	11.14188	15.74023	24.53645	36.87261	51.41141	55.93109	52.72011	46.90603	33.03946	21.19675	13.44463	8.66750	6.03578	4.56974	3.36116	2.81050	2.51014
3	4.47765	5.02255	5.78857	8.07083	10.85061	14.74388	18.47921	21.58277	23.49386	31.79371	35.02363	20.55614	18.04487	16.35489	14.90182	12.27999	9.40544	6.79940	5.32264	4.05121	3.09566
4	3.88413	4.11044	4.21044	4.45254	4.55253	4.69990	4.58938	4.65253	3.20519	2.31574	2.06838	1.85786	1.63154	1.59470	1.79996	1.86838	1.88943	2.10522	2.13153	2.05785	2.30521
5	4.03621	4.15759	4.31084	4.36234	4.29981	3.98716	3.47099	2.66914	2.03159	1.69442	1.50683	1.40875	1.52277	1.65274	1.84400	2.06715	2.34301	2.45581	2.47175	2.49136	2.40063
6	5.69080	5.62380	5.50766	4.77509	3.51990	2.51039	1.77782	1.27753	1.09885	1.08992	1.08545	1.06312	1.19712	1.55447	2.58186	5.52106	9.85394	12.93162	14.83451	15.31246	14.94171
7	1.69501	1.52889	1.24958	1.00554	0.79532	0.61891	0.54393	0.52335	0.50571	0.48366	0.48366	0.47484	0.48954	0.51600	0.57480	0.78356	1.29809	2.06695	2.89019	3.68404	4.34705
8	0.80458	0.73574	0.67523	0.61034	0.56430	0.52879	0.49064	0.45995	0.45249	0.45118	0.44811	0.45688	0.47222	0.48538	0.50116	0.53361	0.59762	0.68663	0.80940	0.95234	1.10054
9	1.72128	1.80881	1.79422	1.96197	2.14431	2.10784	2.04220	1.77234	1.37119	1.13780	0.99922	0.92628	0.97734	1.05757	1.08674	1.20344	1.19615	1.23991	1.18156	1.21073	1.14509
10	0.76428	0.75146	0.73480	0.70930	0.67946	0.64124	0.59658	0.54993	0.50980	0.48752	0.47648	0.47641	0.48988	0.50991	0.53070	0.55192	0.56996	0.58579	0.59984	0.60926	0.61842
