State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.62385	27.21073	5.82219	1.98637	3.44740	20.22739	21.16858	0.22176
2	0.43152	48.77112	6.79489	1.09913	3.18486	52.72174	17.97029	0.30080
3	0.39077	34.04269	4.48347	1.01294	2.27304	35.02471	13.45000	0.52258
4	0.58634	0.58860	2.15245	1.16461	2.36178	2.06844	2.93691	0.40115
5	2.51695	0.86890	1.50703	1.10683	2.03683	1.50688	2.75441	0.44673
6	0.69085	0.45452	1.79655	2.15777	2.03487	1.08549	4.68958	0.21787
7	2.09915	0.36221	1.06306	2.18833	0.89792	0.48367	1.16801	0.24313
8	7.03810	0.68038	3.64180	2.15128	3.14367	0.44812	0.65027	0.31182
9	0.42310	1.98206	2.96841	1.13215	2.38861	0.99925	1.48151	0.60529
10	85.19936	0.46294	0.66043	0.85350	0.73532	0.47649	0.63655	1.11569
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
