State (Emission order)	H3K4me1	H3K27ac	H3K9ac	H3K4me3	H3K4me2	H3K79me2	H3K36me3	H4K20me1	H3K36me1	H3K9me3
1	0.37242292839000657	0.7864143592865224	0.9428825292735444	0.9308770142466617	0.9711287699123584	0.9852193398884804	0.12542883984575395	0.08575689252182953	0.003994245589397145	0.009154647780273539
2	0.4252574742045896	0.8417735612569361	0.9581619278564397	0.9110684642600088	0.9817318458906306	0.08097200299606218	0.007921756490142163	0.009935882010946884	5.372100986077109E-4	0.009229999903864403
3	0.3171343427470678	0.0798704630122356	0.212182309968268	0.45360279177135954	0.6098426309418752	0.0256076213151755	0.0013016203316350372	0.014610638239389092	8.297815365651067E-4	0.011588967802144492
4	0.9341024579092947	0.7158957122578345	0.3217677105292938	0.17063608827263768	0.30149805933785945	0.04348574775179163	0.10717947871416227	0.027190573268842486	0.003668991684887109	0.0269657715852528
5	0.432173876468344	0.033403798458731905	0.011016199449068542	0.010583263776982389	0.009079195994972538	0.008510343826616864	0.015019989620032162	0.01606956623431402	0.001766813010032468	0.00398540639939445
6	0.716075738493206	0.2269823759074593	0.1336997377542604	0.09508016536247395	0.18533020724049726	0.9206999864928832	0.282729765333084	0.13238661822083295	0.01226753723022383	0.01129171036108865
7	0.04947588744918644	0.007172053401099706	0.002215716570049321	0.001517997817164767	1.8361096973233145E-4	0.6628708356932975	0.1399414153311481	0.028844989599591957	0.007937440028594638	0.015673946683949055
8	0.006520480715661194	0.009067762435786789	9.929244158849513E-4	6.792174061949345E-4	1.227271244589155E-4	0.019611809925620307	0.18473342013343422	0.010169609323289894	0.0035715259563946214	0.00322111713847203
9	0.02324356627841876	0.045118696299542974	0.00536824475219752	0.014874582942252006	0.014390228266646718	0.01190409428240198	0.12329383426284889	0.11984437327960025	0.029874780917762026	0.3259700821966622
10	0.00119900060597947	0.001441064950623721	1.722447015362015E-4	6.000492491962529E-4	1.816590623083995E-4	1.1526065169096473E-4	9.214009348826859E-4	0.004733529588606914	0.0020115453552875338	0.004973184459624264
