State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8255424126732293	0.061416025550523785	0.019387863212111795	0.0021376685668674914	9.334740956656071E-4	0.0829480521157148	0.006187841888150921	5.192176688120123E-4	3.9604580310605267E-4	5.31398425818419E-4
2	0.0858799049266847	0.6697138156220193	0.1438905530560268	0.07176426664361625	0.022949557582716548	2.6634489427730554E-5	2.2457712806998883E-5	1.906545800480132E-7	0.0012020414471009854	0.004550577865020844
3	0.027875160928375345	0.1471778771126877	0.5347994094751657	1.0097041671090147E-4	0.09297199565634985	0.001801200156992332	0.0011523950520630055	1.7958108539956912E-5	0.0034174517604573604	0.19068558133265795
4	0.0020479369474038773	0.05221970093492478	1.8210194825977064E-4	0.6466582062159814	0.2651624772689717	0.006635900485884452	0.0	0.019791428368924856	0.007301886317973974	3.615116752934712E-7
5	3.860805440868518E-4	0.0031416174141066576	0.013508688275448447	0.05578783986007672	0.7852611334043847	0.0036212857936954684	3.7152808172697256E-4	0.013333855592466684	8.29702508753366E-4	0.12375826852525423
6	0.06971220831343353	0.0	0.0010790158752302175	0.0052775017938701384	0.015098974684812016	0.72919217575839	0.1663426420536456	0.013079769396153088	2.1771212446535513E-4	0.0
7	0.0018197377942738178	0.0	2.3928948685157057E-4	0.0	4.4953637810317637E-4	0.05653391344023398	0.9077461207264506	0.03232193503721727	3.836186987439659E-4	5.058484381259211E-4
8	5.159799814922447E-5	0.0	0.0	0.0017286766746980621	0.005654859470362472	0.0013408045109365014	0.009448678468679455	0.9755116076067512	0.0012792167879089927	0.004984558482514027
9	4.805573771006594E-4	7.588696096889232E-4	0.002197023713171355	0.009145878011105363	0.004894567825740608	1.107782160309271E-4	0.0015239595796834385	0.01581988494645319	0.8615846771683965	0.10348380355262914
10	1.4831288084032785E-6	2.53893740815694E-5	9.909584861622005E-4	0.0	0.004334592382097287	0.0	1.5587674856801455E-5	4.103645278800572E-4	6.61229562246993E-4	0.9935603948638667
